Emmental	intensite du parfum	parfum propionique	parfum butyrique	texture ferme	texture souple	texture granuleuse	texture collante	texture fondante	texture caracteristique	intensite du gout	gout acide	gout sale	gout sucre	gout piquant	gout fruite	gout amer	gout caracteristique
29	3,3	2,8	2,1	2,9	4,6	2	3,5	4,9	4,1	3,9	3,1	3	2,5	3,4	3,1	2,8	3,9
30	3,9	3,4	3	3,4	4,4	2,6	3,4	4,1	4	4,1	3	3,4	2,6	3,8	3,1	3,3	3,9
31	5,1	3,4	4,7	2,6	4,2	2,6	4	4,3	3,4	4,9	4,1	4,1	2,7	3,9	4	3,1	3,6
32	5,2	3,4	4,9	4,7	4,1	3,4	4,1	3,7	3,7	5,1	4	3,9	2,9	3,7	3,9	3,3	3,2
33	4,3	3,4	3,9	4,6	3,8	3,9	3,4	3,4	3,1	5,3	3,8	4,4	3,1	4,3	3,4	3,2	3,2
34	4,9	4	3,6	3,6	4,6	3,3	3,3	3,6	4	4,8	3,8	3,9	3,1	3,6	3,9	4,2	3,4
35	4,3	3,6	2,8	4,3	3,6	2,7	4,1	4,6	3,9	5,4	4,3	4,2	3,3	3,8	4,2	4	3,3
36	3,9	3,4	2,5	4,6	4	5,4	3,3	2,5	3	3,1	2	3	2,5	2,6	3	2,3	2,8
37	4,6	3,9	3,5	3,5	4,2	3	3,3	4,2	4,8	4,5	3,2	3,7	2,9	3,1	4,1	3,6	4,5
38	4	2,9	3,1	5,4	3,1	4,7	3,1	2,8	3,5	4,7	3,7	4	2,2	3,4	3,1	3,6	3,4
39	4,8	3,5	3,5	3,7	3,9	3,1	3,8	4	3,5	4,8	3,4	3,9	2,6	3,2	3,5	3,9	3,2
40	4	3,2	3,2	3,8	4,1	2,8	3,6	4,1	4,1	4,5	3,2	3,4	2,5	3,3	3,1	3,7	3,2
41	4,5	3,6	3,5	4,7	3,6	4,4	3,3	3,2	2,8	4,8	4	4,3	3,4	4,3	3,6	4,2	2,9
42	4,6	4,5	3,5	3,4	3,9	2,5	4,1	3,6	3,3	4,4	3	3,3	3	3,3	3,7	3,3	3,4
43	4,7	4	3,2	3,2	4,7	2,7	3,7	4,4	4	4,9	3,1	3,8	3,2	3,1	4,1	3,4	3,5
44	5,1	3,3	4,2	3,8	3,9	3,7	3,7	3,1	3,4	4,9	3,1	4,4	3,5	3,4	3,5	3,5	2,9
45	3,8	3,5	3	2,8	4,2	3,1	3,2	3,7	3,4	4,7	2,8	3,4	3,4	3	3,2	3	2,3
46	4,8	4,1	3,1	3	4,3	3,3	3,6	3,2	3,1	4,7	3,9	4,1	3	4	3	3,6	2,3
47	4,6	3,9	3,6	5	3	4,6	3,2	2,9	3,1	4,6	4,5	4,8	3,4	4,7	3,6	3,8	2,7
48	4,1	3,6	3,6	3,1	4	2,1	4,3	4,8	3,5	4,5	3,7	3,8	3,7	3,5	3,6	3,4	2,9
49	4,8	4,2	3,2	3,8	3,5	3,9	3,6	3,5	3,3	5,1	4,4	4,5	3,2	4,8	4,1	3,6	3,1
50	4,4	3,8	3,1	3	3,8	2,5	3,8	3,9	3,2	4,8	4,2	3,9	3,5	4,5	3,4	4,7	2,4
51	3,5	2,6	2,8	2,7	4,2	2,9	3,3	3,7	3,1	5	3,9	3,5	3,3	4,1	3,8	4	2,8
52	3,7	4,1	3	3,7	4,2	4,4	2,7	2,6	3,2	3,8	2,9	3,1	2,9	3	3,4	3,5	3,2
